comparison,t_statistic,p_value,significant,proposed_mean,baseline_mean,delta_f1
Proposed vs Baseline 1 (TF-IDF + Cosine),112.76754650286938,3.708404322249499e-08,Yes,0.7986144189802562,0.0,0.7986144189802562
Proposed vs Baseline 2 (TF-IDF + LR),39.33083329388034,2.4966020060152943e-06,Yes,0.7986144189802562,0.5675068014319546,0.23110761754830156
Proposed vs Baseline 3 (S-BERT Cosine Only),48.0382909097356,1.1234337412624026e-06,Yes,0.7986144189802562,0.46708988930446954,0.33152452967578666
Proposed vs Baseline 4 (Structured + XGBoost),5.196736153926238,0.006530758676103579,Yes,0.7986144189802562,0.7862417393879108,0.012372679592345448
