model,accuracy,precision,recall,f1_score,auc_roc
Baseline 1: TF-IDF + Cosine,0.7577996715927751,0.4838012958963283,0.38956521739130434,0.43159922928709055,0.7195925519239307
Baseline 2: TF-IDF + LR,0.7393267651888341,0.4684873949579832,0.7756521739130435,0.5841519318925998,0.8328612480433615
Baseline 3: S-BERT Cosine Only,0.7040229885057471,0.40664961636828645,0.5530434782608695,0.46868091378039795,0.7071826741116277
Baseline 4: Structured + XGBoost,0.9002463054187192,0.7757475083056479,0.8121739130434783,0.7935429056924383,0.9501833983599279
Proposed: S-BERT + XGBoost,0.9047619047619048,0.8024691358024691,0.7913043478260869,0.7968476357267951,0.9447949910053034
