rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,mean_fit_time
49,0.5647308445447684,0.008222026721030352,300,5,0.05,0.8,0.9,0.6921914100646973
50,0.5646868309816833,0.007373341658903306,300,7,0.05,0.8,0.8,1.4052563667297364
51,0.564678935940317,0.006983471363469857,500,7,0.05,0.7,0.7,1.6316849708557128
52,0.5646664289242349,0.010078443177138382,200,7,0.1,0.9,0.8,0.6712281227111816
53,0.564666194971636,0.008510483965663394,200,7,0.1,0.8,0.9,0.6641836643218995
54,0.5646196707955854,0.01038531457752912,100,7,0.1,0.9,0.9,0.31743640899658204
55,0.5645807844255634,0.007844797193193413,500,3,0.1,0.7,0.7,0.9081731319427491
56,0.5645400804995332,0.007486128916858888,200,5,0.1,0.7,0.8,0.662490701675415
57,0.564499354128903,0.009171079514237917,200,7,0.05,0.9,0.8,0.8171286582946777
58,0.5644982437100948,0.01137551399130263,100,7,0.1,0.7,0.9,0.3081216812133789
59,0.5644929075610341,0.002589313938136987,300,5,0.05,0.9,0.7,0.7142538070678711
60,0.5644841761887868,0.010561105602868133,200,5,0.1,0.8,0.8,0.4692892551422119
61,0.5644012925405822,0.009455031532292936,200,7,0.05,0.7,0.7,0.614366865158081
62,0.5643408112408526,0.006802394350350089,200,5,0.1,0.9,0.7,0.5504398822784424
63,0.5642814247341915,0.008462422666726858,500,5,0.05,0.7,0.8,1.5819467544555663
64,0.5642435355175549,0.0051902119626958424,100,7,0.05,0.7,0.7,0.3615864276885986
65,0.5642393343421842,0.009899677559483209,300,5,0.1,0.8,0.8,0.850120735168457
66,0.5641528194511404,0.006213645598624595,100,7,0.1,0.8,0.7,0.38008747100830076
67,0.5641355058713311,0.008336434602053607,200,7,0.05,0.9,0.9,0.646183967590332
68,0.5640797662867826,0.007431350745421007,500,7,0.01,0.7,0.8,1.5942872524261475
69,0.5639907527593879,0.00814502918427531,500,3,0.05,0.8,0.9,1.1020553588867188
70,0.5639483756788317,0.006711125695191245,200,7,0.05,0.8,0.8,0.7470523357391358
71,0.5639154376210707,0.006091133867926697,300,5,0.05,0.9,0.9,0.6953796863555908
72,0.5638927215252287,0.008101243014207728,300,5,0.05,0.7,0.9,0.7266257762908935
73,0.5638343466877556,0.00824040221242498,200,5,0.05,0.7,0.9,1.0032766819000245
74,0.5637409935108944,0.008615676450511412,300,5,0.1,0.9,0.7,0.6986552715301514
75,0.5636621232803303,0.006026586656178512,500,7,0.05,0.8,0.7,1.9832233428955077
76,0.5636408735592748,0.010040709498417665,300,3,0.1,0.8,0.9,0.7021027088165284
77,0.5636299158791747,0.007759171595480666,200,5,0.05,0.8,0.9,0.4931325912475586
78,0.5635999680775688,0.0086167030539179,500,5,0.05,0.7,0.9,1.2492743492126466
79,0.5635750721560795,0.012707631332569426,300,7,0.1,0.9,0.7,0.9719460964202881
80,0.5635560555076966,0.006325200648795638,100,7,0.1,0.8,0.8,0.3767534732818604
81,0.5635431021320118,0.010449825701587529,500,7,0.1,0.7,0.7,1.7243934631347657
82,0.5634941640964788,0.00892274780804107,200,7,0.1,0.8,0.8,0.6888463973999024
83,0.5634858147889785,0.008655087479039543,500,3,0.1,0.8,0.8,1.0081136703491211
84,0.5634149309988746,0.01008622370119043,300,5,0.05,0.7,0.7,0.7942471981048584
85,0.5634038343756621,0.008994325189601525,200,3,0.1,0.8,0.9,0.4904825210571289
86,0.5632827222602927,0.007841606146901227,500,3,0.05,0.8,0.8,0.9627520561218261
87,0.5632179768567962,0.006055228485584421,500,5,0.1,0.7,0.9,1.2113265514373779
88,0.5632138170838092,0.01005649982956355,500,3,0.1,0.9,0.7,1.0796966075897216
89,0.5631985215454393,0.011511969364913293,500,3,0.1,0.9,0.9,1.0074692726135255
90,0.5630204520603892,0.010807124467310586,500,5,0.1,0.8,0.7,1.1155662536621094
91,0.5628847917718942,0.008790294144053712,500,3,0.1,0.7,0.8,0.9566670417785644
92,0.5628826232448353,0.007965113822910923,300,5,0.1,0.8,0.7,0.7784080505371094
