rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,mean_fit_time
304,0.5483210552066741,0.008992307978325375,300,3,0.01,0.9,0.9,0.5719219207763672
305,0.548172834962769,0.012092037298457871,100,5,0.01,0.9,0.8,0.28334760665893555
306,0.5479599424323962,0.010794453668984265,100,5,0.01,0.9,0.9,0.5009123802185058
307,0.5469210542692527,0.011749811848139287,200,3,0.01,0.8,0.7,0.5982666492462159
308,0.5468086799827739,0.00990561798861449,200,3,0.01,0.8,0.8,0.4083765983581543
309,0.5463012628465113,0.010066441624156531,200,3,0.01,0.9,0.7,0.48095316886901857
310,0.5462598421689666,0.009288790228866105,200,3,0.01,0.9,0.8,0.43627500534057617
311,0.5462332938798264,0.009236916389849774,200,3,0.01,0.7,0.8,0.4332695960998535
312,0.546013550683939,0.008454397034244375,200,3,0.01,0.8,0.9,0.4863261699676514
313,0.5459167401229268,0.011258129854667188,200,3,0.01,0.7,0.7,0.43109474182128904
314,0.5454256634790553,0.007802672614502552,200,3,0.01,0.9,0.9,0.3852237701416016
315,0.5446895829522693,0.009175853163881496,200,3,0.01,0.7,0.9,0.4954515933990479
316,0.535579153970252,0.01312100232148281,100,3,0.01,0.7,0.7,0.7169122219085693
317,0.5338299226015557,0.011735645806382566,100,3,0.01,0.9,0.7,0.23906230926513672
318,0.5334053533588463,0.011779879230509068,100,3,0.01,0.8,0.7,0.4641139030456543
319,0.5280749611452807,0.014211535322737463,100,3,0.01,0.7,0.9,0.23725519180297852
320,0.5280546162618657,0.013234199123561406,100,3,0.01,0.8,0.9,0.24590330123901366
321,0.5279947434614697,0.01409537566513075,100,3,0.01,0.8,0.8,0.20704684257507325
322,0.527603731104355,0.013815448408682558,100,3,0.01,0.7,0.8,0.2308196544647217
323,0.5266584872129949,0.012650053729786545,100,3,0.01,0.9,0.8,0.20933313369750978
324,0.5250521812930152,0.010892356356562256,100,3,0.01,0.9,0.9,0.28092041015625
