fold,accuracy,precision,recall,f1_score,auc_roc
1,0.8956899674031148,0.7907348242811502,0.75920245398773,0.7746478873239436,0.9318124630927344
2,0.90619340818544,0.824793388429752,0.7653374233128835,0.7939538583929993,0.9416410679326404
3,0.9054690329590728,0.7993874425727412,0.8006134969325154,0.8,0.9426446546643512
4,0.9137993480622962,0.8227060653188181,0.8101071975497703,0.816358024691358,0.9460612383075049
5,0.9108695652173913,0.8222222222222222,0.7944785276073619,0.8081123244929798,0.9471921165062106
